date;id;condition;phase;type;start_time;end_time;unit;end_position;all_positions;gallery_shape_number;gallery;gallery_normalized
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;46.083946199622005;nan;nan;nan;4;[[-0.175, 0.07], [0.035, 0.07], [0.175, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];[[-0.21, 0.0], [-0.14, -0.07], [-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.14, 0.0]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;48.09361899970099;49.04391299979761;0;[-0.035, -0.07];[[-0.175, 0.07], [0.035, 0.07], [0.175, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;49.79709499981254;50.826752400025725;2;[0.035, -0.07];[[-0.035, -0.07], [0.035, 0.07], [0.175, 0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;53.20206699986011;53.99256459996104;3;[-0.035, -0.14];[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.105, 0.0], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;54.86080969963223;55.99527569999918;6;[0.035, -0.14];[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.035, -0.14], [-0.035, 0.0], [0.035, 0.0], [0.105, 0.0], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;moveblock;58.717137000057846;62.907386399805546;9;[0.035, -0.21];[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.035, -0.14], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [-0.105, 0.07], [0.105, 0.07]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;64.49641719972715;nan;nan;nan;5;[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.035, -0.14], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [-0.105, 0.07], [0.035, -0.21]];[[-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;66.87526209978387;67.6779585997574;8;[0.035, 0.14];[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.035, -0.14], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [-0.105, 0.07], [0.035, -0.21]];nan;nan;nan
2025-07-27_18h11.58.511;999;individual;practice;added shape to gallery;69.08906009979546;nan;nan;nan;6;[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.035, -0.14], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]
2025-07-27_18h11.58.511;999;individual;practice;moveblock;71.60133469989523;72.52282519964501;3;[0.035, -0.28];[[-0.035, -0.07], [0.035, 0.07], [0.035, -0.07], [-0.035, -0.14], [-0.035, 0.0], [0.035, 0.0], [0.035, -0.14], [-0.035, 0.07], [0.035, 0.14], [0.035, -0.21]];nan;nan;nan
