"","gallery_normalized","shape_frequency"
"51","[[-0.21, 0.0], [-0.21, 0.07], [-0.21, 0.14], [-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0]]",1
"52","[[-0.21, 0.0], [-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0]]",1
"53","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",1
"54","[[-0.28, -0.14], [-0.21, -0.14], [-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, 0.0], [0.21, 0.0]]",2
"55","[[-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0]]",1
"56","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",4
"57","[[-0.14, -0.07], [-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.14], [0.07, 0.14]]",1
"58","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",7
"59","[[-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.07], [0.21, -0.07], [0.21, 0.07]]",4
"60","[[-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07]]",1
"61","[[-0.14, -0.07], [-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0]]",1
"62","[[-0.21, 0.07], [-0.14, 0.07], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.14], [0.14, -0.14], [0.21, -0.14]]",2
"63","[[-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.14], [-0.07, 0.07], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07]]",12
"64","[[-0.07, -0.21], [-0.07, 0.21], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.21]]",2
"65","[[-0.07, -0.07], [-0.07, 0.21], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.07]]",1
"66","[[-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07]]",3
"67","[[-0.07, -0.14], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.14], [0.14, 0.14]]",1
"68","[[-0.14, -0.14], [-0.07, -0.14], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14]]",1
"69","[[-0.07, -0.14], [-0.07, 0.14], [0.0, -0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",7
"70","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",13
"71","[[-0.07, 0.0], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",1
"72","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21]]",2
"73","[[-0.07, -0.21], [0.0, -0.21], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.14]]",1
"74","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0]]",1
"75","[[-0.07, 0.0], [0.0, 0.0], [0.07, -0.14], [0.07, 0.0], [0.07, 0.14], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.14, 0.14]]",1
"76","[[-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.07, -0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.14, 0.07], [0.21, 0.07]]",2
"77","[[-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.0], [0.14, 0.0], [0.14, 0.07]]",5
"78","[[-0.14, 0.14], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.14], [0.14, 0.14]]",5
"79","[[-0.07, -0.14], [-0.07, 0.0], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, 0.0]]",1
"80","[[-0.07, 0.0], [-0.07, 0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.07]]",1
"81","[[-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.14]]",2
"82","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.07]]",11
"83","[[-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.07, 0.0], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.0], [0.28, 0.0]]",1
"84","[[0.0, 0.0], [0.07, -0.28], [0.07, -0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.07, 0.21], [0.07, 0.28]]",3
"85","[[-0.28, 0.14], [-0.21, 0.14], [-0.14, 0.14], [-0.07, 0.14], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14]]",1
"86","[[0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, -0.14], [0.07, -0.07], [0.07, 0.21], [0.14, -0.07], [0.14, 0.21]]",1
"87","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07]]",2
"88","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [-0.07, 0.21], [0.0, -0.14], [0.0, 0.0], [0.0, 0.21], [0.07, -0.14]]",1
"89","[[-0.14, -0.21], [-0.14, -0.14], [-0.14, -0.07], [-0.14, 0.0], [-0.14, 0.07], [-0.14, 0.14], [-0.07, 0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07]]",1
"90","[[-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0], [0.14, 0.07], [0.21, 0.0]]",4
"91","[[-0.07, -0.14], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.14], [0.0, 0.0], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07]]",8
"92","[[-0.14, 0.0], [-0.07, -0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0]]",3
"93","[[-0.14, 0.07], [-0.07, 0.0], [-0.07, 0.07], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, 0.0], [0.07, 0.07], [0.14, 0.07]]",12
"94","[[-0.14, 0.14], [-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, 0.14]]",6
"95","[[-0.14, 0.07], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, 0.07], [0.07, 0.14], [0.14, 0.07]]",5
"96","[[-0.14, 0.0], [-0.14, 0.07], [-0.07, 0.0], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.07, 0.0], [0.14, -0.14], [0.14, -0.07], [0.14, 0.0]]",1
"97","[[0.0, -0.28], [0.0, -0.21], [0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.0, 0.21], [0.07, 0.14], [0.07, 0.21]]",2
"98","[[0.0, -0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14]]",6
"99","[[-0.07, -0.07], [-0.07, 0.07], [-0.07, 0.14], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.07], [0.14, -0.14], [0.14, -0.07]]",1
"100","[[0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.14], [0.14, -0.07], [0.14, 0.14], [0.21, -0.07], [0.21, 0.14]]",1
"101","[[-0.14, 0.0], [-0.07, 0.0], [0.0, 0.0], [0.0, 0.07], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.07, 0.14], [0.14, -0.07], [0.14, 0.14]]",1
"102","[[-0.21, 0.0], [-0.14, 0.0], [-0.07, 0.0], [0.0, -0.07], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.14, -0.07], [0.21, -0.07]]",1
"103","[[-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.07], [0.0, 0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, -0.07], [0.14, 0.0]]",3
"104","[[-0.07, 0.0], [-0.07, 0.07], [-0.07, 0.14], [0.0, 0.0], [0.0, 0.14], [0.07, -0.14], [0.07, -0.07], [0.07, 0.0], [0.07, 0.07], [0.14, 0.0]]",1
